longitude,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded,total_reviews,price
-73.90755,7.0,1.0,271.0,21.0,1.0,25.95,71.0
-73.94726,4.0,1.0,0.0,6.0,0.0,0.0,130.0
-73.99477,1.0,1.0,360.0,7.0,1.0,0.0,199.0
-73.992,30.0,121.0,349.0,14.0,1.0,0.0,69.0
-73.87853,5.0,3.0,0.0,81.0,0.0,2.09,68.0
-73.98028,1.0,1.0,0.0,8.0,1.0,3.07,130.0
-73.96515,28.0,49.0,251.0,1.0,1.0,0.0,195.0
-73.93544,8.0,1.0,0.0,15.0,0.0,1.02,64.0
-73.91608,1.0,1.0,89.0,15.0,0.0,1.16,140.0
-73.97807,5.0,1.0,0.0,16.0,1.0,1.02,159.0
-73.97844,30.0,49.0,311.0,5.0,1.0,2.0,189.0
-73.92879,3.0,1.0,17.0,6.0,1.0,80.66,
-73.98252,1.0,1.0,0.0,68.0,1.0,0.0,
-73.97994,30.0,1.0,352.0,8.0,1.0,0.0,305.0
-73.96123,1.0,1.0,0.0,15.0,0.0,0.0,155.0
-73.94695,3.0,1.0,0.0,2.0,1.0,13.28,60.0
-73.98606,1.0,1.0,0.0,1.0,0.0,0.0,135.0
-73.97458,2.0,327.0,159.0,5.0,1.0,1.34,120.0
-73.94358,3.0,1.0,329.0,2.0,0.0,9.11,150.0
-73.95845,7.0,1.0,0.0,20.0,1.0,10.51,140.0
-73.89678,2.0,1.0,318.0,100.0,1.0,76.71,135.0
-73.96466,3.0,1.0,11.0,29.0,1.0,17.47,250.0
-73.97827,2.0,1.0,0.0,8.0,0.0,30.96,250.0
-73.93502,3.0,1.0,0.0,4.0,1.0,10.21,500.0
-73.95263,2.0,1.0,251.0,24.0,0.0,15.59,225.0
-73.9558,4.0,1.0,341.0,73.0,0.0,53.09,125.0
-73.95436,7.0,1.0,213.0,2.0,0.0,15.27,92.0
-73.93432,3.0,1.0,0.0,30.0,0.0,52.78,175.0
-73.94726,1.0,1.0,0.0,28.0,0.0,0.0,99.0
-73.93174,1.0,1.0,0.0,21.0,0.0,1.03,195.0
-73.95686,5.0,1.0,0.0,12.0,0.0,2.08,
-73.88818,1.0,4.0,300.0,83.0,0.0,14.4,135.0
-73.90639,1.0,3.0,0.0,21.0,0.0,28.52,500.0
-73.92693,2.0,1.0,0.0,21.0,0.0,0.0,80.0
-73.94327,1.0,1.0,176.0,6.0,1.0,32.5,120.0
-73.95098,2.0,1.0,0.0,12.0,0.0,21.14,110.0
-73.76993,1.0,7.0,177.0,152.0,0.0,17.23,65.0
-73.91852,2.0,1.0,0.0,21.0,0.0,12.21,
-73.95593,3.0,1.0,314.0,12.0,1.0,41.34,
-73.94582,1.0,1.0,0.0,2.0,1.0,0.0,
-73.9387,6.0,2.0,0.0,12.0,0.0,1.07,
-73.97753,1.0,2.0,22.0,19.0,0.0,70.89,37.0
-74.00303,30.0,2.0,12.0,11.0,1.0,34.88,175.0
-73.99012,5.0,1.0,0.0,79.0,1.0,1.09,205.0
-73.95044,2.0,1.0,0.0,2.0,1.0,151.47,285.0
-73.94362,2.0,1.0,254.0,12.0,0.0,275.85,
-73.91337,2.0,1.0,173.0,72.0,0.0,6.14,36.0
-73.9651,5.0,1.0,358.0,22.0,0.0,0.0,
-73.98023,5.0,1.0,0.0,8.0,1.0,4.53,39.0
-73.96987,1.0,1.0,0.0,29.0,0.0,0.0,
-73.95178,3.0,1.0,280.0,2.0,1.0,17.65,90.0
-73.85605,1.0,1.0,341.0,87.0,0.0,0.0,105.0
-73.95604,5.0,1.0,16.0,25.0,1.0,4.11,135.0
-73.99752,3.0,2.0,64.0,9.0,0.0,173.84,
-74.00515,29.0,327.0,333.0,43.0,1.0,0.0,70.0
-73.91525,1.0,2.0,0.0,21.0,0.0,5.22,75.0
-73.98602,3.0,1.0,0.0,1.0,0.0,7.44,
-73.95277,2.0,1.0,0.0,20.0,1.0,9.56,200.0
-73.95308,4.0,1.0,88.0,2.0,0.0,0.0,100.0
-73.95702,5.0,3.0,21.0,2.0,0.0,0.0,70.0
-73.99361,5.0,8.0,333.0,111.0,2.0,4.0,
-73.96912,1.0,2.0,88.0,8.0,1.0,0.0,60.0
-73.9789,30.0,3.0,357.0,8.0,1.0,1.07,
-73.9037,1.0,3.0,65.0,31.0,0.0,3.07,68.0
-73.91788,1.0,1.0,74.0,39.0,1.0,38.0,115.0
